iter	Passed	Remaining
399	53050	79575
400	53184	79445
401	53311	79304
402	53455	79188
403	53588	79056
404	53735	78944
405	53875	78822
406	54008	78690
407	54161	78586
408	54304	78468
409	54459	78368
410	54590	78232
411	54729	78109
412	54879	78000
413	55019	77877
414	55173	77775
415	55287	77614
416	55420	77482
417	55550	77345
418	55685	77215
419	55832	77102
420	55982	76993
421	56116	76860
422	56228	76700
423	56361	76567
424	56504	76446
425	56628	76301
426	56764	76173
427	56909	76056
428	57078	75971
429	57223	75854
430	57375	75745
431	57518	75626
432	57668	75514
433	57818	75403
434	57958	75279
435	58097	75153
436	58232	75022
437	58385	74914
438	58520	74783
439	58643	74637
440	58795	74528
441	58927	74392
442	59082	74286
443	59217	74154
444	59345	74015
445	59483	73888
446	59619	73757
447	59749	73619
448	59882	73486
449	60007	73342
450	60147	73217
451	60292	73098
452	60425	72963
453	60559	72831
454	60696	72701
455	60850	72593
456	60986	72462
457	61144	72358
458	61266	72212
459	61418	72099
460	61551	71966
461	61686	71834
462	61814	71694
463	61959	71574
464	62099	71448
465	62231	71312
466	62360	71173
467	62503	71051
468	62642	70923
469	62790	70806
470	62949	70701
471	63094	70580
472	63240	70460
473	63371	70323
474	63515	70201
475	63661	70081
476	63812	69966
477	63959	69847
478	64095	69716
479	64239	69592
480	64392	69479
481	64538	69359
482	64672	69225
483	64799	69083
484	64941	68958
485	65067	68815
486	65207	68688
487	65363	68577
488	65513	68461
489	65657	68337
490	65804	68216
491	65951	68096
492	66105	67982
493	66245	67854
494	66383	67724
495	66503	67576
496	66644	67449
497	66777	67313
498	66904	67172
499	67050	67050
500	67193	66925
501	67330	66794
502	67488	66683
503	67636	66562
504	67756	66414
505	67896	66286
506	68041	66162
507	68200	66052
508	68339	65922
509	68482	65797
510	68626	65672
511	68770	65546
512	68912	65420
513	69052	65290
514	69181	65151
515	69312	65014
516	69436	64870
517	69573	64738
518	69714	64610
519	69866	64491
520	70007	64364
521	70153	64239
522	70300	64117
523	70433	63981
524	70561	63841
525	70695	63706
526	70836	63578
527	70969	63442
528	71093	63298
529	71227	63164
530	71360	63028
531	71506	62903
532	71640	62769
533	71760	62622
534	71890	62483
535	72043	62366
536	72182	62235
537	72324	62107
538	72461	61975
539	72604	61847
540	72746	61720
541	72883	61587
542	73015	61451
543	73161	61326
544	73293	61190
545	73443	61068
546	73578	60934
547	73727	60812
548	73868	60682
549	74009	60553
550	74152	60425
551	74299	60301
552	74430	60163
553	74572	60035
554	74706	59900
555	74845	59769
556	74974	59629
557	75113	59498
558	75266	59378
559	75400	59242
560	75528	59103
561	75671	58975
562	75826	58856
563	75974	58732
564	76110	58598
565	76265	58478
566	76407	58349
567	76549	58220
568	76671	58076
569	76788	57928
570	76940	57806
571	77088	57681
572	77234	57555
573	77383	57430
574	77524	57300
575	77676	57178
576	77829	57056
577	77980	56933
578	78120	56802
579	78249	56663
580	78392	56534
581	78518	56392
582	78643	56251
583	78771	56110
584	78906	55976
585	79036	55838
586	79178	55708
587	79315	55574
588	79445	55436
589	79586	55305
590	79739	55183
591	79877	55050
592	79996	54904
593	80129	54768
594	80254	54627
595	80399	54499
596	80530	54361
597	80666	54227
598	80802	54092
599	80942	53961
600	81070	53822
601	81205	53687
602	81351	53559
603	81499	53433
604	81611	53283
605	81748	53150
606	81881	53013
607	82022	52882
608	82172	52757
609	82318	52630
610	82469	52505
611	82630	52386
612	82778	52260
613	82920	52129
614	83056	51994
615	83198	51863
616	83331	51727
617	83447	51581
618	83594	51453
619	83729	51318
620	83870	51186
621	84014	51057
622	84142	50917
623	84287	50788
624	84444	50666
625	84594	50540
626	84751	50418
627	84882	50280
628	85026	50150
629	85163	50016
630	85299	49882
631	85431	49745
632	85569	49611
633	85711	49479
634	85855	49349
635	86000	49220
636	86148	49092
637	86289	48960
638	86439	48833
639	86572	48697
640	86715	48566
641	86847	48428
642	86986	48295
643	87128	48164
644	87276	48035
645	87415	47902
646	87553	47768
647	87728	47655
648	87865	47520
649	88001	47385
650	88132	47247
651	88271	47114
652	88409	46980
653	88544	46844
654	88672	46705
655	88823	46578
656	88964	46445
657	89100	46310
658	89232	46173
659	89375	46042
660	89515	45908
661	89640	45768
662	89776	45633
663	89912	45497
664	90044	45360
665	90185	45228
666	90326	45095
667	90477	44967
668	90614	44833
669	90745	44695
670	90881	44560
671	91011	44422
672	91145	44286
673	91289	44155
674	91461	44037
675	91611	43908
676	91727	43763
677	91851	43622
678	91987	43487
679	92137	43358
680	92268	43221
681	92399	43083
682	92537	42949
683	92668	42811
684	92803	42676
685	92949	42545
686	93094	42414
687	93264	42294
688	93398	42158
689	93542	42026
690	93700	41900
691	93864	41777
692	94001	41643
693	94130	41504
694	94273	41371
695	94415	41238
696	94556	41105
697	94688	40968
698	94816	40829
699	94957	40696
700	95107	40566
701	95253	40435
702	95380	40296
703	95505	40155
704	95643	40020
705	95775	39883
706	95916	39750
707	96056	39616
708	96194	39481
709	96319	39341
710	96476	39214
711	96607	39077
712	96750	38944
713	96903	38815
714	97056	38687
715	97197	38553
716	97345	38422
717	97486	38288
718	97640	38160
719	97767	38020
720	97889	37879
721	98044	37751
722	98190	37619
723	98316	37479
724	98474	37352
725	98626	37222
726	98760	37086
727	98892	36948
728	99027	36812
729	99158	36675
730	99286	36536
731	99429	36403
732	99562	36266
733	99711	36135
734	99852	36001
735	99993	35867
736	100167	35745
737	100316	35613
738	100448	35476
739	100574	35337
740	100706	35199
741	100861	35070
742	101001	34936
743	101148	34803
744	101307	34675
745	101444	34540
746	101599	34410
747	101740	34276
748	101871	34138
749	101996	33998
750	102142	33866
751	102291	33734
752	102431	33599
753	102575	33466
754	102708	33329
755	102841	33192
756	102976	33055
757	103109	32918
758	103255	32785
759	103385	32647
760	103521	32511
761	103666	32378
762	103807	32244
763	103966	32115
764	104103	31979
765	104255	31848
766	104390	31711
767	104524	31574
768	104669	31441
769	104812	31307
770	104947	31171
771	105072	31031
772	105217	30898
773	105376	30768
774	105534	30639
775	105686	30507
776	105816	30369
777	105965	30236
778	106103	30101
779	106236	29964
780	106375	29828
781	106512	29692
782	106646	29555
783	106787	29421
784	106929	29286
785	107060	29148
786	107192	29011
787	107338	28877
788	107480	28743
789	107622	28608
790	107755	28471
791	107897	28336
792	108035	28200
793	108173	28065
794	108293	27924
795	108434	27789
796	108569	27653
797	108711	27518
798	108844	27381
799	108991	27247
800	109122	27110
801	109272	26977
802	109413	26842
803	109564	26709
804	109710	26575
805	109840	26438
806	109984	26303
807	110143	26172
808	110273	26034
809	110415	25900
810	110565	25766
811	110702	25630
812	110826	25491
813	110955	25353
814	111082	25215
815	111235	25082
816	111362	24944
817	111508	24810
818	111660	24677
819	111817	24545
820	111947	24407
821	112085	24271
822	112224	24135
823	112387	24005
824	112514	23866
825	112657	23731
826	112798	23596
827	112930	23458
828	113072	23323
829	113229	23191
830	113361	23054
831	113498	22918
832	113662	22787
833	113811	22653
834	113940	22515
835	114071	22377
836	114219	22243
837	114348	22105
838	114479	21968
839	114630	21834
840	114786	21701
841	114930	21566
842	115080	21432
843	115235	21299
844	115379	21164
845	115531	21030
846	115665	20893
847	115797	20756
848	115925	20618
849	116064	20481
850	116192	20343
851	116339	20209
852	116493	20075
853	116620	19937
854	116762	19801
855	116892	19664
856	117020	19526
857	117154	19389
858	117304	19254
859	117441	19118
860	117584	18982
861	117729	18847
862	117853	18708
863	117983	18571
864	118126	18435
865	118250	18297
866	118388	18161
867	118516	18023
868	118666	17888
869	118806	17752
870	118946	17616
871	119090	17481
872	119228	17344
873	119368	17208
874	119509	17072
875	119664	16938
876	119832	16806
877	119974	16670
878	120124	16535
879	120267	16400
880	120414	16264
881	120558	16129
882	120691	15991
883	120840	15856
884	120985	15721
885	121125	15585
886	121263	15448
887	121399	15311
888	121534	15174
889	121682	15039
890	121817	14902
891	121950	14765
892	122093	14629
893	122248	14494
894	122405	14360
895	122560	14225
896	122714	14090
897	122843	13953
898	122971	13815
899	123143	13682
900	123298	13547
901	123457	13413
902	123598	13276
903	123722	13138
904	123859	13001
905	124011	12866
906	124175	12732
907	124343	12598
908	124493	12463
909	124631	12326
910	124767	12189
911	124929	12054
912	125076	11918
913	125224	11782
914	125395	11648
915	125544	11512
916	125685	11376
917	125823	11239
918	125956	11101
919	126106	10965
920	126247	10829
921	126399	10693
922	126534	10555
923	126682	10419
924	126813	10282
925	126961	10145
926	127095	10008
927	127240	9872
928	127382	9735
929	127518	9598
930	127656	9461
931	127806	9324
932	127948	9188
933	128073	9050
934	128218	8913
935	128358	8776
936	128500	8639
937	128643	8503
938	128780	8365
939	128930	8229
940	129059	8091
941	129189	7954
942	129318	7816
943	129447	7679
944	129578	7541
945	129713	7404
946	129845	7266
947	129968	7129
948	130097	6991
949	130239	6854
950	130373	6717
951	130499	6579
952	130635	6442
953	130792	6306
954	130921	6169
955	131045	6031
956	131191	5894
957	131354	5758
