iter	Logloss
0	0.6413496228
1	0.5978362393
2	0.5557725982
3	0.5197997929
4	0.4906852561
5	0.4639991636
6	0.4399761485
7	0.4196825232
8	0.40254353
9	0.3875732328
10	0.372709348
11	0.3603039516
12	0.3489462597
13	0.3392340157
14	0.3295091849
15	0.3213552316
16	0.3149088441
17	0.3087803674
18	0.3037906594
19	0.2985013442
20	0.2940321084
21	0.2900120045
22	0.2862593115
23	0.2829227078
24	0.280115279
25	0.2772522171
26	0.2747204255
27	0.2726643381
28	0.2707796875
29	0.2690582296
30	0.2672362379
31	0.2660104387
32	0.2644925951
33	0.2634139776
34	0.2623307392
35	0.2613401685
36	0.2603194496
37	0.259467642
38	0.2587491805
39	0.2580115764
40	0.2572504827
41	0.2566131484
42	0.2561353512
43	0.2556026653
44	0.2551624932
45	0.2547951992
46	0.2542854715
47	0.253865494
48	0.2534371768
49	0.2530416013
50	0.2525670266
51	0.2522720943
52	0.2519437563
53	0.2515831551
54	0.2513037851
55	0.2510398771
56	0.2508067743
57	0.2505157666
58	0.2502623154
59	0.2500395502
60	0.2498182122
61	0.2496445081
62	0.249470306
63	0.2492096276
64	0.2490139897
65	0.2488098004
66	0.2486174919
67	0.2484427519
68	0.24829416
69	0.2481201921
70	0.2479167364
71	0.2477604523
72	0.2475889762
73	0.2474415051
74	0.2472951637
75	0.2471073691
76	0.2469846886
77	0.246867432
78	0.2467247533
79	0.2465744643
80	0.2464326433
81	0.2462583247
82	0.2461373695
83	0.246044757
84	0.2458915658
85	0.2457406032
86	0.2456573552
87	0.2455517804
88	0.245435117
89	0.2453104859
90	0.2452018627
91	0.2451220464
92	0.2450290623
93	0.2449006693
94	0.2447794794
95	0.2446862564
96	0.2446099556
97	0.2445075686
98	0.2444213058
99	0.2443095075
100	0.2442081516
101	0.2441223598
102	0.2440454054
103	0.2439475173
104	0.2438788294
105	0.243786881
106	0.2437108958
107	0.2436491179
108	0.2435692967
109	0.2434767749
110	0.2433924552
111	0.2433527194
112	0.2432532867
113	0.2431930425
114	0.2430983158
115	0.2430475713
116	0.2429730519
117	0.242881282
118	0.2428180436
119	0.2427266842
120	0.2426718454
121	0.2425898427
122	0.2425217734
123	0.2424700867
124	0.2424069564
125	0.2423425037
126	0.24227311
127	0.2422326747
128	0.2421837685
129	0.242115799
130	0.2420510099
131	0.2420070494
132	0.241947675
